"id","geschlecht","age","anzahl_pets","hund","katze","kaninchen","pferd","vogel","hamster","fisch","schlange","andere"
"329","weiblich","55","5",,"Katze",,,,,,,
"330","mÃ¤nnlich","55","3","Hund",,,,"Vogel",,,,
"331","weiblich","22","5","Hund",,,,,,,,
"332","mÃ¤nnlich","55","55",,"Katze",,,"Vogel",,,,
"333","mÃ¤nnlich","55","55",,"Katze",,,"Vogel",,,,
"334","weiblich","42","24",,,,,,"Hamster",,,
"335","weiblich","42","24",,,,,,"Hamster",,,
"336","mÃ¤nnlich","52","55","Hund",,,,,,,,
"337","mÃ¤nnlich","55","55",,"Katze",,,"Vogel",,,,
"338","weiblich","55","55",,,,,,,"Fisch","Schlange","Andere"
"339","mÃ¤nnlich","57","57",,"Katze",,,,,"Fisch",,
"340","weiblich","22","18",,"Katze",,,,,,,
"341","weiblich","99","99","Hund",,,,,,,,
"342","divers","8","1",,,,,,"Hamster",,,
"343","mÃ¤nnlich","45","42",,"Katze",,,,,,,
"344","mÃ¤nnlich","45","42",,"Katze",,,,,,,
"345","weiblich","25","25",,"Katze",,,,,,,
"346","weiblich","13","1",,,,"Pferd",,,,,
"347","weiblich","45","45","Hund",,,,,,,"Schlange",
"348","mÃ¤nnlich","77","7","Hund",,,,,,"Fisch","Schlange",
"349","weiblich","45","5",,,"Kaninchen",,,"Hamster",,,
